client,time,local_x,local_y,remote_x,remote_y
1,0.000,100.000,320.000,100.000,520.000
1,0.055,100.000,320.000,100.000,520.000
1,0.110,100.000,320.000,100.000,520.000
1,0.173,100.000,320.000,100.000,520.000
1,0.228,100.000,320.000,100.000,520.000
1,0.286,100.000,320.000,98.230,520.000
1,0.344,100.000,320.000,96.795,520.000
1,0.402,100.000,320.000,96.639,520.000
1,0.458,100.000,320.000,97.688,520.000
1,0.516,100.000,320.000,100.111,520.000
1,0.577,100.000,320.000,105.881,520.000
1,0.632,100.000,320.000,111.549,520.000
1,0.696,100.000,320.000,118.573,520.000
1,0.754,100.000,320.000,125.273,520.000
1,0.812,100.000,320.000,132.415,520.000
1,0.869,100.000,320.000,140.488,520.000
1,0.926,100.000,320.000,148.590,520.000
1,0.983,100.000,320.000,156.681,520.000
1,1.043,100.000,320.000,165.102,520.000
1,1.098,100.000,320.000,172.989,520.000
1,1.165,100.000,320.000,182.483,520.000
1,1.224,100.000,320.000,190.513,520.000
1,1.280,100.000,320.000,197.843,520.000
1,1.339,100.000,320.000,204.304,520.000
1,1.396,100.000,320.000,210.533,520.000
1,1.455,100.000,320.000,217.203,520.000
1,1.512,100.000,320.000,224.026,520.000
1,1.570,100.000,320.000,231.097,520.000
1,1.628,100.000,320.000,238.792,520.000
1,1.684,100.000,320.000,246.398,520.000
1,1.742,100.000,320.000,254.381,520.000
1,1.801,100.000,320.000,262.506,520.000
1,1.857,100.000,320.000,271.346,519.488
1,1.913,100.000,320.000,280.200,519.009
1,1.968,100.000,320.000,288.082,519.022
1,2.023,100.000,320.000,295.052,519.503
1,2.082,100.000,320.000,301.859,519.661
1,2.137,100.000,320.000,307.265,519.913
1,2.195,100.000,320.000,312.099,521.514
1,2.252,100.000,320.000,315.871,524.395
1,2.308,100.000,320.000,318.725,528.583
1,2.368,100.000,320.000,320.000,535.839
1,2.423,100.000,320.000,320.000,544.203
1,2.479,100.000,320.000,320.000,552.321
1,2.537,100.000,320.000,320.000,560.459
1,2.594,100.000,320.000,320.000,567.243
1,2.651,100.000,320.000,320.000,573.336
1,2.708,100.000,320.000,320.000,579.777
1,2.763,100.000,320.000,320.000,586.374
1,2.818,100.000,320.000,320.000,593.318
1,2.876,100.000,320.000,320.000,601.526
1,2.933,100.000,320.000,320.000,610.165
1,2.990,100.000,320.000,320.000,618.460
1,3.045,100.000,320.000,320.000,626.058
1,3.101,100.000,320.000,320.000,632.872
1,3.159,100.000,320.000,320.000,639.010
1,3.220,100.000,320.000,320.000,645.853
1,3.276,100.000,320.000,320.000,652.507
1,3.334,100.000,320.000,320.000,659.816
1,3.394,100.000,320.000,320.000,668.502
1,3.449,100.000,320.000,320.000,676.773
1,3.505,100.000,320.000,320.000,684.894
1,3.560,100.000,320.000,320.000,692.663
1,3.617,100.000,320.000,321.314,700.615
1,3.674,100.000,320.000,323.238,708.575
1,3.730,100.000,320.000,323.907,715.557
1,3.785,100.000,320.000,323.386,721.530
1,3.843,100.000,320.000,321.609,726.885
1,3.902,100.000,320.000,317.605,731.261
1,3.959,100.000,320.000,312.235,734.472
1,4.016,100.000,320.000,306.645,737.088
1,4.075,100.000,320.000,300.664,739.168
1,4.130,100.000,320.000,294.807,740.000
1,4.195,100.000,320.000,287.733,740.000
1,4.256,100.000,320.000,280.704,740.000
1,4.311,100.000,320.000,273.963,740.000
1,4.366,100.000,320.000,266.976,740.000
1,4.425,100.000,320.000,258.675,740.000
1,4.483,100.000,320.000,250.353,740.000
1,4.539,100.000,320.000,242.425,740.000
1,4.595,100.000,320.000,234.370,740.000
1,4.655,100.000,320.000,225.853,740.000
1,4.711,100.000,320.000,217.837,740.000
1,4.771,100.000,320.000,209.712,740.000
1,4.826,100.000,320.000,202.411,740.000
1,4.884,100.000,320.000,195.576,740.000
1,4.941,100.000,320.000,189.390,740.000
1,5.001,100.000,320.000,182.656,740.000
1,5.059,100.000,320.000,175.639,740.000
1,5.115,100.000,320.000,168.670,740.000
1,5.171,100.000,320.000,160.652,740.007
1,5.228,100.000,320.000,152.202,740.014
1,5.287,100.000,320.000,143.937,740.014
1,5.344,100.000,320.000,136.220,740.006
1,5.399,100.000,320.000,127.854,742.058
1,5.460,100.000,320.000,118.608,744.954
1,5.516,100.000,320.000,111.700,745.755
1,5.574,100.000,320.000,105.812,744.727
1,5.630,100.000,320.000,101.615,741.941
1,5.687,100.000,320.000,100.000,735.411
1,5.743,100.000,320.000,100.000,726.863
1,5.800,100.000,320.000,100.000,718.697
1,5.857,100.000,320.000,100.000,710.755
1,5.913,100.000,320.000,100.000,704.189
1,5.970,100.000,320.000,100.000,698.260
1,6.026,100.000,320.000,100.000,692.035
1,6.081,100.000,320.000,100.000,685.604
1,6.142,100.000,320.000,100.000,678.060
1,6.202,100.000,320.000,100.000,669.482
1,6.266,100.000,320.000,100.000,659.681
1,6.324,100.000,320.000,100.000,651.313
1,6.378,100.000,320.000,100.000,643.713
1,6.435,100.000,320.000,100.000,637.012
1,6.493,100.000,320.000,100.000,630.597
1,6.551,100.000,320.000,100.000,623.839
1,6.607,100.000,320.000,100.000,617.217
1,6.664,100.000,320.000,100.000,610.132
1,6.721,100.000,320.000,100.000,602.761
1,6.778,100.000,320.000,100.000,595.095
1,6.838,100.000,320.000,100.000,586.959
1,6.896,100.000,320.000,100.000,578.975
1,6.953,100.000,320.000,99.579,570.130
1,7.009,100.000,320.000,99.118,561.172
1,7.069,100.000,320.000,99.127,552.538
1,7.124,100.000,320.000,99.600,545.362
1,7.182,100.000,320.000,99.545,538.579
1,7.239,100.000,320.000,99.711,532.771
1,7.297,100.000,320.000,101.257,527.801
1,7.353,100.000,320.000,104.020,524.020
